"ID","PDF_NAME","NGO_NAME"
4,Prakriye – Annual Report.pdf,prakriye
5,PLANACT-AR-17_18-002...pdf,planact 
6,tanzania-2018.pdf,brac
7,"2018ImpactReport-AsanteAfrica-small.pdf",asante africa
8,Annual Report 2017-18.pdf,educate girls 
9,the-arcenciel-impact-report-2018-final.pdf,arcenciel
10,GOJoven-results-eval-2012.pdf,GOJoven
11,Annual_Report_2017-2018.pdf,international service
12,EDUCO-Accountability-Report-2018.pdf,EDUCO
13,Badabon-Sangho-Annual-Report-2017-2018_PDF.pdf,karukar
14,"2018-WISER-Annual-Report.pdf",WISER
15,BLS19063_PRO_SOWF_REPORT_015.pdf,MenCare
16,IHAP2018.pdf,integrate health 
17,RECO Annual Report 2016-2018.pdf,RECO
18,SDG_Impact_Report_190906.pdf,care
19,"2018-Annual-Report_web.pdf",lien aid
20,Annual_Report__w_2018.pdf,high atlas foundation
21,"1538109773-TahaddiStrategicPlan2018-2021Compressed.pdf",tahaddi
22,"2018-GFP-Annual-Report-Design.pdf",generations for peace
23,BOMA-Q1-2019-FINAL-2.pdf,BOMA
24,Winter-2018.pdf,PTPL
25,Project+Soar+AR+2018+FINAL.pdf,project soar 
27,GOJoven-Impact-Sheet-3-2016.pdf,GOJoven
28,CIUK-Annual-Report-and-Accounts-2018.pdf,care 
29,PCI_MNCH_Nutrition_Capacity_Statement.pdf,PCI
30,FXB-2017-Annual-Report.pdf,FXB
31,PCI_Every_Preemie_Program_Overview.pdf,PCI
32,Annual_report_2017.pdf,charity: water
33,"966772306264698623132095.pdf",jordan river
34,AR-2018-19.pdf,suraksha 
35,Bangladesh-Annual-Report-2018.pdf,brac 
36,actionaid_uk_annual_report_2018.pdf,actionaid 
37,A201+UP+annual+report+and+financial+statements+2018+final.pdf,purpose united 
38,Aura Freedom International Our Impact CanadaHelps.pdf,aura freedom international
39,Both_ENDS_Annual_Report_2018.pdf,both ends
40,attachment-19c116ec6cc5b6f71c4c0c036e8b8edf.pdf,Darüşşafaka
41,Annual_Report_2017-18.pdf,ahsania mission 
42,GDS-Annual-Report-2017-18-final-1.pdf,GDS
43,READ_annual_report_2018_Final_Compressed.pdf,read global 
44,arsberattelse-2018_inlaga_uppslag_eng_12juli.pdf,change thew world people 
45,REPORTE-ANUAL-2018.pdf,mujer 
46,PCI_Food_for_Education_Programs_Overview.pdf,PCI
47,Self-Help-Intl-2018-Impact-Report.pdf,self help international
48,PEACE_Final_Summary.pdf,peace
49,GNRC-Annual-Report-16-17-Singles-25-04-17.pdf,GNRC
50,PHASEWORLDWIDE_IMPACTREPORT_2018.pdf,phase worldwide
51,Heifer-Annual-Report-2018.pdf,heifer
52,Friends-International-Annual-Report-2017.pdf,friends international
53,access_to_justice_2018_final_report.pdf,actionaid
54,iDE-2018-Annual-Report-web.pdf,iDE
55,Summary-FXBVillage-Villupuram-Evaluation-2017.pdf,FXBVillage
56,cw_AnnualReport_2018_2.pdf,charity: water
57,REO-2017-Annual-Report-1.pdf,REO
58,"1534278448-FinalAnnualreportTahaddi8-8-2018(1).pdf",tahaddi
59,PCI_Annual_Report_2018_web.pdf,PCI
60,SOUL+FY17-18+Annual+Report.pdf,soul
61,"084-201916irc_annualdef_web_0.pdf",IRC
62,EG_RCT Interim Results.pdf,RCT
63,Winter-2017.pdf,ptpl
64,HFHI_AR_2018_FINAL_WEB2.pdf,habitat 
65,Aflatoun_AnnualReport2017.pdf,aflatoun 
66,Annual Report 2017-18 Master.pdf,keep the drea
67,PM-Manhood-2-0-Program-Overview-v1-7-E.pdf,manhood 2.0
68,GV_Annual-Report_final_web-1.pdf,gram vikas 
69,Annual_Report_2018.pdf,ccbrt 
70,global-childhood-report-2019-pdf.pdf,save the children
71,planinternational-annualreview2018-en.pdf,plan international
72,monitoring_report_2018_2.pdf,irc
73,BOMA-PROJECT-2018-Q4-IMPACT-REPORT-UPLOAD.pdf,BOMA
74,PCI_Citizen_Security_Project_Overview_Nicaragua_Eng.pdf,PCI
75,"2019_39593758-3.pdf",bakashana
76,Aahung-Annual-Report-2018.pdf,aahung
77,MIET_AnnualReport_aw.pdf,miet 
78,Annual-Report-2018-19-2.pdf,lakshyam
79,Annual-report-cob-2018.pdf,COB
80,camfed_intl_annual_report_2018.pdf,camfed 
81,ar-complete-draft1-14062019-with-old-cover-update25062019.pdf,acted 
82,PCI_Healthy_Start_Program_Overview.pdf,PCI
83,CARE INT Digital Annual Report V7.pdf,care
84,cob-annual-report-2017.pdf,COB
85,Ikamva_Annual_final_web_LR.pdf,ikamva 
86,"2018 Impact Report-2.pdf",near east foundation
87,portrait-stc-annual-report-2018.pdf,save the children
88,ENTREPRENEURS-DU-MONDE_Annual-report-2018.pdf,entrepeneurs du monde
89,ar2018_english.pdf,fonkoze
90,"271083-FB-Annual-Report-PROOF3.pdf",friendship bridge
91,annualreview-financialstatement-2018.pdf,plan international
92,"7.-GDS-Annual-Report-2018-19.pdf",GDS
93,"2018-Annual-Report.pdf",across
94,NYF-Annual-Report-2017-2018.pdf,NYF
95,scus-2019-21-plan-booklet.pdf,save the children
96,"2018 Impact Report.pdf",near east foundation
